record num,title,author_list,date
0,Task-linked Diurnal Brain Network Reorganization in Older Adults: A Graph Theoretical Approach.,"John A E Anderson,Saman Sarraf,Tarek Amer,Buddhika Bellana,Vincent Man,Karen L Campbell,Lynn Hasher,Cheryl L Grady",2016
1,Burden and risk factors for gastrointestinal symptom distress in HIV patients in the modern antiretroviral era.,"Tyler J O'Neill,Janet M Raboud,Jill Tinmouth,Sean B Rourke,Sandra Gardner,Curtis Cooper,Sergio Rueda,Trevor A Hart,Anita Rachlis,Ann N Burchell,OHTN Cohort Study Team",2016
2,Brain-behavior relationships in source memory: Effects of age and memory ability.,"Liesel-Ann Meusel,Cheryl L Grady,Patricia E Ebert,Nicole D Anderson",2017
3,A prospective 2-site parallel intervention trial of a research-based film to increase exercise amongst older hemodialysis patients.,"Pia Kontos,Shabbir M H Alibhai,Karen-Lee Miller,Dina Brooks,Romeo Colobong,Trisha Parsons,Sarbjit Vanita Jassal,Alison Thomas,Malcolm Binns,Gary Naglie",2017
4,Neural Correlates of Speech Segregation Based on Formant Frequencies of Adjacent Vowels.,"Claude Alain,Jessica S Arsenault,Linda Garami,Gavin M Bidelman,Joel S Snyder",2017
5,Visual Sampling Predicts Hippocampal Activity.,"Zhong-Xu Liu,Kelly Shen,Rosanna K Olsen,Jennifer D Ryan",
6,Novel genetic loci associated with hippocampal volume.,"Derrek P Hibar,Hieab H H Adams,Neda Jahanshad,Ganesh Chauhan,Jason L Stein,Edith Hofer,Miguel E Renteria,Joshua C Bis,Alejandro Arias-Vasquez,M Kamran Ikram,Sylvane Desrivières,Meike W Vernooij,Lucija Abramovic,Saud Alhusaini,Najaf Amin,Micael Andersson,Konstantinos Arfanakis,Benjamin S Aribisala,Nicola J Armstrong,Lavinia Athanasiu,Tomas Axelsson,Ashley H Beecham,Alexa Beiser,Manon Bernard,Susan H Blanton,Marc M Bohlken,Marco P Boks,Janita Bralten,Adam M Brickman,Owen Carmichael,M Mallar Chakravarty,Qiang Chen,Christopher R K Ching,Vincent Chouraki,Gabriel Cuellar-Partida,Fabrice Crivello,Anouk Den Braber,Nhat Trung Doan,Stefan Ehrlich,Sudheer Giddaluru,Aaron L Goldman,Rebecca F Gottesman,Oliver Grimm,Michael E Griswold,Tulio Guadalupe,Boris A Gutman,Johanna Hass,Unn K Haukvik,David Hoehn,Avram J Holmes,Martine Hoogman,Deborah Janowitz,Tianye Jia,Kjetil N Jørgensen,Nazanin Karbalai,Dalia Kasperaviciute,Sungeun Kim,Marieke Klein,Bernd Kraemer,Phil H Lee,David C M Liewald,Lorna M Lopez,Michelle Luciano,Christine Macare,Andre F Marquand,Mar Matarin,Karen A Mather,Manuel Mattheisen,David R McKay,Yuri Milaneschi,Susana Muñoz Maniega,Kwangsik Nho,Allison C Nugent,Paul Nyquist,Loes M Olde Loohuis,Jaap Oosterlaan,Martina Papmeyer,Lukas Pirpamer,Benno Pütz,Adaikalavan Ramasamy,Jennifer S Richards,Shannon L Risacher,Roberto Roiz-Santiañez,Nanda Rommelse,Stefan Ropele,Emma J Rose,Natalie A Royle,Tatjana Rundek,Philipp G Sämann,Arvin Saremi,Claudia L Satizabal,Lianne Schmaal,Andrew J Schork,Li Shen,Jean Shin,Elena Shumskaya,Albert V Smith,Emma Sprooten,Lachlan T Strike,Alexander Teumer,Diana Tordesillas-Gutierrez,Roberto Toro,Daniah Trabzuni,Stella Trompet,Dhananjay Vaidya,Jeroen Van der Grond,Sven J Van der Lee,Dennis Van der Meer,Marjolein M J Van Donkelaar,Kristel R Van Eijk,Theo G M Van Erp,Daan Van Rooij,Esther Walton,Lars T Westlye,Christopher D Whelan,Beverly G Windham,Anderson M Winkler,Katharina Wittfeld,Girma Woldehawariat,Christiane Wolf,Thomas Wolfers,Lisa R Yanek,Jingyun Yang,Alex Zijdenbos,Marcel P Zwiers,Ingrid Agartz,Laura Almasy,David Ames,Philippe Amouyel,Ole A Andreassen,Sampath Arepalli,Amelia A Assareh,Sandra Barral,Mark E Bastin,Diane M Becker,James T Becker,David A Bennett,John Blangero,Hans van Bokhoven,Dorret I Boomsma,Henry Brodaty,Rachel M Brouwer,Han G Brunner,Randy L Buckner,Jan K Buitelaar,Kazima B Bulayeva,Wiepke Cahn,Vince D Calhoun,Dara M Cannon,Gianpiero L Cavalleri,Ching-Yu Cheng,Sven Cichon,Mark R Cookson,Aiden Corvin,Benedicto Crespo-Facorro,Joanne E Curran,Michael Czisch,Anders M Dale,Gareth E Davies,Anton J M De Craen,Eco J C De Geus,Philip L De Jager,Greig I De Zubicaray,Ian J Deary,Stéphanie Debette,Charles DeCarli,Norman Delanty,Chantal Depondt,Anita DeStefano,Allissa Dillman,Srdjan Djurovic,Gary Donohoe,Wayne C Drevets,Ravi Duggirala,Thomas D Dyer,Christian Enzinger,Susanne Erk,Thomas Espeseth,Iryna O Fedko,Guillén Fernández,Luigi Ferrucci,Simon E Fisher,Debra A Fleischman,Ian Ford,Myriam Fornage,Tatiana M Foroud,Peter T Fox,Clyde Francks,Masaki Fukunaga,J Raphael Gibbs,David C Glahn,Randy L Gollub,Harald H H Göring,Robert C Green,Oliver Gruber,Vilmundur Gudnason,Sebastian Guelfi,Asta K Håberg,Narelle K Hansell,John Hardy,Catharina A Hartman,Ryota Hashimoto,Katrin Hegenscheid,Andreas Heinz,Stephanie Le Hellard,Dena G Hernandez,Dirk J Heslenfeld,Beng-Choon Ho,Pieter J Hoekstra,Wolfgang Hoffmann,Albert Hofman,Florian Holsboer,Georg Homuth,Norbert Hosten,Jouke-Jan Hottenga,Matthew Huentelman,Hilleke E Hulshoff Pol,Masashi Ikeda,Clifford R Jack,Mark Jenkinson,Robert Johnson,Erik G Jönsson,J Wouter Jukema,René S Kahn,Ryota Kanai,Iwona Kloszewska,David S Knopman,Peter Kochunov,John B Kwok,Stephen M Lawrie,Hervé Lemaître,Xinmin Liu,Dan L Longo,Oscar L Lopez,Simon Lovestone,Oliver Martinez,Jean-Luc Martinot,Venkata S Mattay,Colm McDonald,Andrew M McIntosh,Francis J McMahon,Katie L McMahon,Patrizia Mecocci,Ingrid Melle,Andreas Meyer-Lindenberg,Sebastian Mohnke,Grant W Montgomery,Derek W Morris,Thomas H Mosley,Thomas W Mühleisen,Bertram Müller-Myhsok,Michael A Nalls,Matthias Nauck,Thomas E Nichols,Wiro J Niessen,Markus M Nöthen,Lars Nyberg,Kazutaka Ohi,Rene L Olvera,Roel A Ophoff,Massimo Pandolfo,Tomas Paus,Zdenka Pausova,Brenda W J H Penninx,G Bruce Pike,Steven G Potkin,Bruce M Psaty,Simone Reppermund,Marcella Rietschel,Joshua L Roffman,Nina Romanczuk-Seiferth,Jerome I Rotter,Mina Ryten,Ralph L Sacco,Perminder S Sachdev,Andrew J Saykin,Reinhold Schmidt,Helena Schmidt,Peter R Schofield,Sigurdur Sigursson,Andrew Simmons,Andrew Singleton,Sanjay M Sisodiya,Colin Smith,Jordan W Smoller,Hilkka Soininen,Vidar M Steen,David J Stott,Jessika E Sussmann,Anbupalam Thalamuthu,Arthur W Toga,Bryan J Traynor,Juan Troncoso,Magda Tsolaki,Christophe Tzourio,Andre G Uitterlinden,Maria C Valdés Hernández,Marcel Van der Brug,Aad van der Lugt,Nic J A van der Wee,Neeltje E M Van Haren,Dennis van 't Ent,Marie-Jose Van Tol,Badri N Vardarajan,Bruno Vellas,Dick J Veltman,Henry Völzke,Henrik Walter,Joanna M Wardlaw,Thomas H Wassink,Michael E Weale,Daniel R Weinberger,Michael W Weiner,Wei Wen,Eric Westman,Tonya White,Tien Y Wong,Clinton B Wright,Ronald H Zielke,Alan B Zonderman,Nicholas G Martin,Cornelia M Van Duijn,Margaret J Wright,W T Longstreth,Gunter Schumann,Hans J Grabe,Barbara Franke,Lenore J Launer,Sarah E Medland,Sudha Seshadri,Paul M Thompson,M Arfan Ikram",2017
7,Identifying disordered eating behaviours in adolescents: how do parent and adolescent reports differ by sex and age?,"Savani Bartholdy,Karina Allen,John Hodsoll,Owen G O'Daly,Iain C Campbell,Tobias Banaschewski,Arun L W Bokde,Uli Bromberg,Christian Büchel,Erin Burke Quinlan,Patricia J Conrod,Sylvane Desrivières,Herta Flor,Vincent Frouin,Jürgen Gallinat,Hugh Garavan,Andreas Heinz,Bernd Ittermann,Jean-Luc Martinot,Eric Artiges,Frauke Nees,Dimitri Papadopoulos Orfanos,Tomáš Paus,Luise Poustka,Michael N Smolka,Eva Mennigen,Henrik Walter,Robert Whelan,Gunter Schumann,Ulrike Schmidt",2017
8,"Assessing and tuning brain decoders: Cross-validation, caveats, and guidelines.","Gaël Varoquaux,Pradeep Reddy Raamana,Denis A Engemann,Andrés Hoyos-Idrobo,Yannick Schwartz,Bertrand Thirion",2016
9,Investigating Simulated Driving Errors in Amnestic Single- and Multiple-Domain Mild Cognitive Impairment.,"Megan A Hird,Kristin A Vesely,Corinne E Fischer,Simon J Graham,Gary Naglie,Tom A Schweizer",
10,50 Years of Cognitive Aging Theory.,"Nicole D Anderson,Fergus I M Craik",
11,An fMRI investigation of the relationship between future imagination and cognitive flexibility.,"R P Roberts,K Wiebels,R L Sumner,V van Mulukom,C L Grady,D L Schacter,D R Addis",2016
12,"Repetition-lag memory training is feasible in patients with chronic stroke, including those with memory problems.","Vessela Stamenova,Janine M Jennings,Shaun P Cook,Fuqiang Gao,Lisa A S Walker,Andra M Smith,Patrick S R Davidson",2016
13,Sex differences in the adolescent brain and body: Findings from the saguenay youth study.,"Tomáš Paus,Angelita Pui-Yee Wong,Catriona Syme,Zdenka Pausova",
14,The associations between multisensory temporal processing and symptoms of schizophrenia.,"Ryan A Stevenson,Sohee Park,Channing Cochran,Lindsey G McIntosh,Jean-Paul Noel,Morgan D Barense,Susanne Ferber,Mark T Wallace",2016
15,Effects of long-term androgen deprivation therapy on cognitive function over 36 months in men with prostate cancer.,"Shabbir M H Alibhai,Narhari Timilshina,Sarah Duff-Canning,Henriette Breunis,Ian F Tannock,Gary Naglie,Neil E Fleshner,Murray D Krahn,Padraig Warde,Shireen Marzouk,George A Tomlinson",2016
16,ENIGMA and the individual: Predicting factors that affect the brain in 35 countries worldwide.,"Paul M Thompson,Ole A Andreassen,Alejandro Arias-Vasquez,Carrie E Bearden,Premika S Boedhoe,Rachel M Brouwer,Randy L Buckner,Jan K Buitelaar,Kazima B Bulayeva,Dara M Cannon,Ronald A Cohen,Patricia J Conrod,Anders M Dale,Ian J Deary,Emily L Dennis,Marcel A de Reus,Sylvane Desrivieres,Danai Dima,Gary Donohoe,Simon E Fisher,Jean-Paul Fouche,Clyde Francks,Sophia Frangou,Barbara Franke,Habib Ganjgahi,Hugh Garavan,David C Glahn,Hans J Grabe,Tulio Guadalupe,Boris A Gutman,Ryota Hashimoto,Derrek P Hibar,Dominic Holland,Martine Hoogman,Hilleke E Hulshoff Pol,Norbert Hosten,Neda Jahanshad,Sinead Kelly,Peter Kochunov,William S Kremen,Phil H Lee,Scott Mackey,Nicholas G Martin,Bernard Mazoyer,Colm McDonald,Sarah E Medland,Rajendra A Morey,Thomas E Nichols,Tomas Paus,Zdenka Pausova,Lianne Schmaal,Gunter Schumann,Li Shen,Sanjay M Sisodiya,Dirk J A Smit,Jordan W Smoller,Dan J Stein,Jason L Stein,Roberto Toro,Jessica A Turner,Martijn P van den Heuvel,Odile L van den Heuvel,Theo G M van Erp,Daan van Rooij,Dick J Veltman,Henrik Walter,Yalin Wang,Joanna M Wardlaw,Christopher D Whelan,Margaret J Wright,Jieping Ye,ENIGMA Consortium",2015
